label,text,text_length,text_selection_strategy,text_selection_info,similar_story_1,similarity_score_1,story_1_length,similar_story_2,similarity_score_2,story_2_length,similar_story_3,similarity_score_3,story_3_length
Poor stimulus management,"For example, once he was on the sidewalk, he got scared and suddenly crossed the street, and we had to catch him. And even if you hold their hand, they [referring to autistic children in general] still have a lot of resistance.",227,first,first of 2,"Once upon a time, there was a brave boy named Timmy. Timmy loved to build things with his hammer. He would hit the nails with his hammer and make big structures. One day, Timmy was building a treehouse when he saw a little bird. The bird was scared and didn't know what to do.

Timmy knew he had to yield and be careful not to scare the bird. He put down his hammer and slowly approached the bird. He spoke to the bird in a soft voice and offered it some crumbs. The bird felt safe with Timmy and ate the crumbs.

From that day on, Timmy and the bird became friends. Timmy would bring the bird food and the bird would sing for Timmy. Timmy was happy to have a new friend and he learned that sometimes you need to yield and be gentle to make new friends.",0.3281,753,"Once upon a time, there was a young boy named Jack. He had a special bag that he was very proud of. In the bag, he kept his most beloved toys. One day, Jack was playing in the park with his bag. His mom saw him and she gently urged him to put his bag aside.

At first, Jack was a bit stubborn and he did not want to obey his mom. But eventually, he listened and he put the bag away in the toy corner. He was then able to enjoy the game even more as he was now free to run around.

The moral of the story is that listening to your parents can make you happy. Jack's mom wanted what was best for him and by following her advice, it enabled him to have more fun while playing. So the next time your parents tell you something, try and listen to them and you may learn something valuable.",0.2929,784,"One day, a little boy named Tim went to play outside. It was winter and very icy. He put on his warm coat, hat, and gloves. Tim loved to play in the snow and make snowballs.

Tim saw his friend, Sue, playing in the snow too. They decided to have a snowball fight. They threw snowballs at each other for a minute. Tim was having so much fun!

But then, Tim slipped on the icy ground. He felt embarrass because he fell in front of Sue. Sue came over to help him up. She told him it was okay and that everyone falls sometimes. They laughed and continued to play in the snow, having a great time.",0.2877,592
Vestibular stimming,"So he would spin a lot, he couldn't stand anything like swings or walkers [thinking] things like that. It was not tolerated at all. Lack of balance made it too difficult for him.",178,first,first of 5,"Once upon a time, there was a little girl named Lily. She loved to play outside with her friends. One day, they went to the park to play on the swings. Lily was so excited to swing high in the sky!

But then, a boy came and wanted to swing too. He was very rude and tried to push Lily off the swing. Lily didn't like that, so she went to play on the other side of the park with her other friends.

There, they found a big tree with a tire swing. They all took turns swinging on it and had so much fun. Lily was happy she found a new side of the park to play on and forgot all about the rude boy.",0.2971,595,"Once upon a time, there was a little girl named Lily. She loved to draw with her pencil. Drawing was easy for her. One day, Lily's mommy told her to hang her pencil on the wall. Lily didn't want to, but she did it anyway.

Later that day, Lily's little brother came into the room. He saw the pencil hanging on the wall and wanted to play with it. He climbed up on a chair to reach it, but he fell and hurt himself badly. Lily felt very sad and wished she had kept her pencil in a safe place.

The moral of the story is that it's important to put things away where they belong so that nobody gets hurt.",0.2477,601,"Once there was a little boy named Tom. Tom wanted motion, so he went outside to play. He ran and skipped around the yard and then lay down in the grass. Tom watched the clouds drift by and heard the birds chirping. He wanted to fly like them, so he jumped up and flapped his arms, trying to make a motion like the birds.

Tom heard a sound and his alert ears perked up. He peered through the trees and saw a squirrel running around, gathering food. Tom wanted to join in the motion and scurried after it. He wasn't fast enough and the squirrel zipped away, leaving Tom in its wake.

Still, Tom wanted motion. He ran around the yard, laughing and jumping and twirling in the sunlight. Tom felt the motion of the world around him, and he knew he was alive. He laughed and let his happy spirit flourish in the bright day. He thanked the world for the motion and kept ever-alert to the little creatures of the forest.",0.2417,913
Proprioceptive and vestibular stimming,She can spend her time jumping.,31,first,first of 6,"Once upon a time, there was a little girl named Lily. She was playing with her favorite toy, a big red ball. Suddenly, she dropped the ball and it bounced up and hit the ceiling. Lily felt anxious because she thought the ceiling might fall down. 

She looked up and saw that the ceiling was still there and she felt better. Lily's mom came in and saw the ball on the floor. She picked it up and gave it back to Lily. 

Lily was happy to have her ball back and continued playing. She was very careful not to drop it again because she didn't want to make the ceiling fall down. The end.",0.4088,584,"Mommy was very enthusiastic. She was getting ready to go somewhere and said, â€œLetâ€™s speed!â€ She grabbed her keys and they both ran out the door. They jumped into the car and Mommy started it. She drove very fast down the street, going faster and faster. The wind blew through their hair.

Soon they came to a stop in a big park. There were lots of animals running around and trees to climb. Mommy was so excited. She ran ahead, looking for the perfect spot. As Mommy jumped from tree to tree, her enthusiasm was contagious. Soon I was jumping too, and we were running around the park like we were on a big adventure. 

Finally we stopped to rest. Mommy hugged me tight and said, â€œLetâ€™s speed home now, itâ€™s almost bedtime!â€ We ran back to the car, laughing all the way. Soon we were driving home, going faster and faster, with the wind blowing in our hair.",0.4044,868,"Once upon a time, there was a little girl named Lily. She loved to play in her backyard and pick flowers. One day, she saw a loose nail on the ground near her swing. She knew it was dangerous, but she was too lazy to pick it up.

Later that day, Lily's mom suggested they have a picnic in the park. Lily was so excited and ran to get her favorite blanket. But when she got to the park, she tripped and hurt her foot on the loose nail she saw earlier. 

Lily learned her lesson and never left dangerous things on the ground again. From then on, she always made sure to be safe and careful.",0.3745,588
Hypotonia,"As a baby, in terms of sensory perception, he was very floppy.",62,first,first of 1,"Once upon a time, there was a little boy named Tim. Tim loved to play with dough. He would make all sorts of shapes with it. One day, he made a car out of dough. It was a very nice car.

Tim wanted to see if the car could zoom. He was a bit nervous because he didn't know if it would work. He pushed the car and it started to zoom across the floor. Tim was so happy!

Every day, Tim played with his dough car. He would zoom it around the room and make fun tracks. Tim was not nervous anymore. He knew that his dough car could zoom fast and far. And they lived happily ever after.",0.3795,579,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.3659,890,"Ben was bored. He did not like to stay in his room. He wanted to go out and play. But Mom said no. She said it was too cold and wet. She gave him a book and a toy car. But Ben did not want to read or play with the car. He wanted to do something else.

He looked around his room. He saw a drawer. He opened it. He saw a shiny thing. It was a key. He picked it up. He wondered what it was for. He looked at the door. He saw a hole. He walked to the door. He put the key in the hole. He twisted it.

He heard a click. He turned the knob. He opened the door. He saw the hall. He smiled. He ran out of his room. He wanted to explore. He did not know that the key was for his room. He did not know that he locked himself out. He did not know that Mom would be angry. He only knew that he was not bored anymore.",0.362,804
Regulation,"The rocking happens during moments of very, very intense crises.",64,first,first of 3,"Once upon a time, there was a very big stage. It was so big that lots of people could stand on it at the same time. One day, a little girl went on the stage to sing a song. She was very nervous, but her mom told her she was brilliant and could do it.

As the little girl started to sing, the stage started to rock back and forth. She was scared, but her mom told her to keep singing. So she did, and soon the audience started to clap and cheer. The little girl felt so happy and proud.

Afterwards, the little girl and her mom went home and celebrated with ice cream. The little girl knew she was brilliant and couldn't wait to sing on the stage again.",0.3109,652,"Once upon a time, there was a little boy named Timmy. Timmy loved playing outside with his toys. One day, he saw a big, rough rock on the ground. He knew he shouldn't touch it, but he wanted to grab it anyway.

Later that day, Timmy and his family went for a ride in their jeep. Timmy was so excited to ride in the bumpy jeep. As they drove along, they hit a big bump and Timmy's toy fell out the window. Timmy was sad, but then he remembered the rough rock he saw earlier.

They drove back to where Timmy saw the rock and he ran over to grab it. He was so happy he found it! Timmy learned that sometimes it's better to leave things alone, but other times it's okay to grab them if they are important to you.",0.2575,708,"Tommy was walking around the park one day. He saw something very unusual in the grass. He wondered what it was and decided to take a closer look. Tommy bent down and carefully picked up the object. It was a unique, round stone with brightly coloured spots. Tommy had never seen anything like it before. He didn't know what it was, but he felt a special connection to it. 

Tommy took the object home and asked his mom what it was. His mom told him that it was a special type of rock called a 'geode'. She explained that when geodes are opened, beautiful crystals can be discovered inside.

Tommy was so excited that he wanted to open the geode right away. He took some pliers and carefully cracked it open. Inside he found the most amazing crystals! He was amazed. What a unique discovery!",0.2536,789
Olfactory sensitivity,"There are smells too. The smell of hair, perfumes. [...] It can be certain animals, or what I put in my hair.",109,first,first of 4,"Once upon a time, there was a very loyal dog named Lola. She was always happy to see her owners when they came home. One day, Lola's owners decided to bring home a bunch of celery from the store. They decided to pretend that the celery was a tasty treat. They offered some to Lola and told her it was yummy. 

Lola was confused. She didn't understand why they were pretending, but she was loyal so she ate a few pieces of celery. It didn't taste very good and she knew right away that it wasn't a treat. She sadly put her head down and lay in her bed. 

Since that day, Lola's owners never brought her a nice treat again. They continued to pretend that the celery was something special, but Lola knew they were only pretending. She was very sad, because she was loyal but was never rewarded with something she truly loved.",0.2046,822,"Once upon a time, there was a little girl named Lily. She had long hair that was always tangled. Her mom would comb it every day, but Lily didn't like it. She was curious about what would happen if she didn't let her mom comb her hair.

One day, Lily went outside to play. It was a sunny day, and she ran around the park with her friends. But then, it started to rain. Lily didn't want to go home yet, so she stayed outside and played in the rain. When she came home, her hair was all wet.

Her mom tried to comb it, but it was too tangled. Lily was upset because she didn't like the feeling of her hair being wet and tangled. She learned her lesson and promised to always let her mom comb her hair from then on.",0.198,712,"Once upon a time, there was a naughty dog named Spot. Spot loved to dig holes and bury things in the yard. One sunny day, Spot found a bottle of lotion inside the house.

Spot thought the lotion smelled good. He wanted to bury it in the yard like his other treasures. So, he took the lotion in his mouth and went outside to dig a hole.

Spot dug a big hole and put the lotion in it. Then, he covered the lotion with dirt. Spot was happy with his new buried treasure. But when his owner saw the mess, she said, ""Oh, Spot, you are such a naughty dog!""",0.1839,549
Low threshold,"But on the other hand, he has a very poor sense of smell.",57,first,first of 2,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.2671,890,"Once upon a time, there was a boy named Timmy. Timmy loved to whistle all day long. He would whistle while he played, while he ate, and even while he slept. One day, Timmy's mom made him some cookies. Timmy took a bite and said, ""Mom, these cookies don't taste regular. They taste funny."" His mom said, ""Timmy, I put a special ingredient in them. They are healthier for you.""

Timmy didn't like the taste of the cookies and he stopped whistling. He didn't want to eat anything that didn't taste regular. His mom explained to him that sometimes things that are good for us don't always taste the same as what we are used to. She reminded him that it's important to try new things and not always stick to the same old regular things.

From that day on, Timmy tried new foods and even started to like some of them. He also learned that just because something doesn't taste regular, it doesn't mean it's not good for you. He continued to whistle all day long, but now he did it with a smile on his face, knowing that he was trying new things and growing up to be a big boy.",0.2378,1069,"Once upon a time, there was a naughty dog named Spot. Spot loved to dig holes and bury things in the yard. One sunny day, Spot found a bottle of lotion inside the house.

Spot thought the lotion smelled good. He wanted to bury it in the yard like his other treasures. So, he took the lotion in his mouth and went outside to dig a hole.

Spot dug a big hole and put the lotion in it. Then, he covered the lotion with dirt. Spot was happy with his new buried treasure. But when his owner saw the mess, she said, ""Oh, Spot, you are such a naughty dog!""",0.2278,549
Odor-seeking,"But he has a very good sense of smell and always needs to be stimulated by smelling things, so they feel the need to seek out different scents. I don't know.",157,first,first of 1,"Once upon a time, there was a naughty dog named Spot. Spot loved to dig holes and bury things in the yard. One sunny day, Spot found a bottle of lotion inside the house.

Spot thought the lotion smelled good. He wanted to bury it in the yard like his other treasures. So, he took the lotion in his mouth and went outside to dig a hole.

Spot dug a big hole and put the lotion in it. Then, he covered the lotion with dirt. Spot was happy with his new buried treasure. But when his owner saw the mess, she said, ""Oh, Spot, you are such a naughty dog!""",0.2859,549,"Once there was a boy who was looking for something special. He asked all his friends if they knew where to find it. They all just shrugged their shoulders! 
One day he decided to take a walk through the park. He was searching in the grass and noticed something attractive. It was a puppy!
The boy was so excited he quickly picked up the puppy. He stroked it and the puppy licked his hand. He knew he had found something special and he felt so happy. 
The boy took the puppy home and looked after it everyday. He had taught the puppy special commands and it was so loyal to him. Everywhere he went people started to comment on how attractive the puppy was. 
The boy was so pleased he had found something so special, a puppy that was loyal and attractive.",0.2743,753,"Once upon a time, there was a little girl named Lily. She loved to play outside and pick flowers. One day, she found a special herb that smelled really good. She decided to hold onto it and show her mom.

As she walked back to her house, she saw an adorable puppy running towards her. The puppy was so cute and cuddly that Lily wanted to hold him. She picked him up and gave him a big hug. The puppy licked her face and wagged his tail.

Lily's mom came outside and saw the puppy. She thought he was adorable too. They decided to keep him and give him a good home. From that day on, Lily and her new puppy would play together and hold onto each other all the time.",0.2715,664
Crises,"Indeed, all the animals must be in their place. Similarly, I'm getting into photography, so I regularly change the photos in the house. This is something that is very poorly accepted. It takes several days for him to adjust. He always needs to be involved in the decorating process. These things are very important because they can cause him anxiety for several days and lead to major anxiety attacks.",401,first,first of 4,"Once upon a time, there was a little boy named Timmy. Timmy liked to draw and color with his markers. One day, he drew a picture of a big tree with lots of leaves. His mommy saw the picture and said, ""Wow, Timmy! That's a beautiful tree! Can you mark your name on it so we know it's yours?""

Timmy took his blue marker and carefully marked his name on the bottom of the picture. He was so proud of his artwork that he wanted to show it to everyone. He asked his mommy if he could stand on the chair to hang it on the wall. His mommy said yes and Timmy climbed up on the chair.

As he was trying to hang the picture, he accidentally knocked over a vase. His mommy became anxious and said, ""Be careful, Timmy! You almost broke something!"" Timmy felt bad and said sorry to his mommy. She gave him a hug and said it was okay, accidents happen. From then on, Timmy made sure to be extra careful when he stood on chairs.",0.2544,914,"Once upon a time, there was a little cat named Kitty. She was a happy cat who liked to play with her friends. One day, Kitty's mom told her that they had to prepare for a meeting with their neighbors. Kitty was upset because she wanted to play outside with her friends.

Kitty's mom said, ""Kitty, we need to get ready for the meeting. Can you help me by picking up your toys and putting them away?"" Kitty nodded and started to pick up her toys. She wanted to make her mom happy.

After Kitty picked up her toys, she went to the meeting with her mom. At the meeting, she saw her friends and they played together. Kitty learned that sometimes it is important to help with grown-up things like meetings, even if it means not playing right away. In the end, Kitty was happy that she helped her mom and still got to play with her friends.",0.2373,833,"Once upon a time, there was a happy little mouse named Max. Max lived in a big field with lots of tall grass and a big tree with a vine growing up it. Max loved to climb the vine and look out at the peaceful world around him.

One day, Max saw a big cat walking towards him. Max was scared, but then he recognized the cat as his friend, Mittens. Mittens was a nice cat who always played with Max and never tried to eat him.

Max and Mittens climbed the vine together and sat on a branch, looking out at the peaceful world around them. They watched the birds flying in the sky and the flowers swaying in the breeze. Max was happy to have a friend like Mittens and a peaceful place to live.",0.234,688
Agitation,"He went last week with the leisure center, and it was very difficult for him because they didn't follow the same route we usually take. They struggled a bit because he couldn't stay still. It was too much for him not to take the same path.",239,first,first of 1,"One day, Tim wanted to go to the park. He asked his mom if he could go. She said, ""Yes, but first you need to pack your bag."" Tim was so excited that he was a little careless while packing his bag.

At the park, Tim saw his friend, Sue. They played on the swings and the slide. They had so much fun that Tim forgot about the bag he packed. When they were tired, they sat down to eat a snack. Tim looked for his bag, but it was not there.

Tim and Sue looked everywhere for the bag. They found it near the slide. Tim had been careless and left it there. They opened the bag and shared the snacks inside. They learned to be more careful with their things and had a great day at the park.",0.2205,685,"Once there was a strong seal. The seal lived by the sea. He had many friends. They liked to play in the water.

One day, the seal found a fish with a thing around it. The fish could not swim well. The seal wanted to help the fish. He tried to remove the thing from the fish. It was hard, but the seal did not give up.

After some time, the seal removed the thing. The fish was happy and could swim again. They played together in the sea. The seal learned that helping others is good.",0.2012,483,"John worked hard everyday. He was always thoughtful for everyone and tried his best to manage the chores around the house. One day, his mom asked him to fix the faucet, which was broken. He was a bit scared, since he had never fixed a faucet before.

John worked hard and carefully tried his best to manage the faucet. He asked for help from his dad, who gave him some tips on how to fix it. After some effort, he finally managed to fix it! 

John was so happy and proud of himself. Everyone was very impressed and thanked John for being so thoughtful and brave. Even his mom said he was a real hero!",0.1912,600
Adjustment time,"In fact, she needs time for her brain to accept that I've changed the dress. Once I've changed, her brain then readjusts to the new dress.",138,first,first of 3,"Once upon a time, there was a little girl named Lily. She had a gray doll that she loved very much. One day, Lily's grandma sent her a package in the mail. When Lily opened the package, she found a new doll inside! It was a pretty pink doll with a shiny dress. 

Lily was happy to have a new friend to play with, but she didn't forget about her gray doll. She still loved her old doll just as much. Lily decided to send a picture of her gray doll to her grandma to say thank you for the new doll. 

Lily's grandma was happy to see the picture of Lily's gray doll. She knew how much Lily loved it. From that day on, Lily played with both her gray doll and her new pink doll. She was very happy to have two dolls to play with!",0.3623,724,"Once upon a time, there was a little girl named Lily. She had a big wardrobe in her room. She loved to play hide and seek in it. One day, Lily's mom asked her to clean her room. Lily didn't want to, she wanted to play instead. 

But then, Lily saw her mom's sad face. She asked her mom what was wrong. Her mom told her that she lost her favorite necklace. Lily felt sad for her mom. She wanted to help her find it. 

Lily remembered that she saw something shiny in her wardrobe. She went to check and found her mom's necklace. Her mom was grateful and hugged her tight. Lily felt happy that she could help her mom. She learned that helping others can make them happy and that made her happy too.",0.3464,695,"Once upon a time, there was a little girl named Lily. She loved to play with her toys, but they were always all over the place. One day, Lily decided to organize all of her toys by putting the dolls in one box and the blocks in another. It was hard work, but she felt proud when she was done.

Lily's mom noticed how much she loved to play with her toys and wanted to buy her more. But she knew that Lily was too little to carry heavy things. So, she bought her some little toys that were light in weight. Lily was so happy and played with her new toys all day long. 

After playing with her toys, Lily felt so lively and full of energy. She danced around her room and sang songs. She was so happy that she had organized her toys and had new ones to play with. From that day on, Lily made sure to keep all of her toys organized and to only play with toys that were light in weight.",0.322,881
Adaptation difficulty,"The same goes for clothes; they always have to be the same with the same color. Sometimes we think we're doing the right thing by changing them, thinking maybe that's what was needed. But in the end, it wasn't. So, it's difficult to adapt the tools or the environment to all these aspects. Sometimes we wonder if it's sensory, if it's about immutability, or if it's both. It's complicated.",389,first,first of 3,"Once upon a time, there was a little girl named Lily. She had a favorite cloth she always carried with her. It was soft and pink, just like her favorite color. One day, Lily lost her cloth and she felt very sad. She looked everywhere for it but couldn't find it.

Lily's mom noticed how sad she was and gave her a big hug to comfort her. She told her they would look for the cloth together. They searched high and low until they found it under the bed. Lily was so happy she hugged her mom and her cloth tightly.

From that day on, Lily never let her cloth out of her sight. She felt happy knowing it was always with her. And whenever she felt sad, she would hold her cloth close and her mom would comfort her with a warm hug.",0.2679,726,"Once upon a time, there was a fierce kitchen. Everything seemed to be in disarray and no one knew what to do. That is when Mama Bear came to the rescue. She set to work settling the kitchen and putting everything in its right place. She cleared the counters and wiped away the dust. Mama Bear even brought in a lovely new tablecloth to spread out and make everything look perfect.

Once Mama Bear was finished, the kitchen looked so much better. And she knew that her children would love it so much. When they finally came in to check out the kitchen, they were totally amazed by how peaceful and organized it had become. They thanked their mama and hugged her tight. From then on, they always were sure to help settle the kitchen after they had a snack. 
 
The end!",0.266,766,"Once upon a time, there was a little girl named Lily. She loved to play with her toys, but they were always all over the place. One day, Lily decided to organize all of her toys by putting the dolls in one box and the blocks in another. It was hard work, but she felt proud when she was done.

Lily's mom noticed how much she loved to play with her toys and wanted to buy her more. But she knew that Lily was too little to carry heavy things. So, she bought her some little toys that were light in weight. Lily was so happy and played with her new toys all day long. 

After playing with her toys, Lily felt so lively and full of energy. She danced around her room and sang songs. She was so happy that she had organized her toys and had new ones to play with. From that day on, Lily made sure to keep all of her toys organized and to only play with toys that were light in weight.",0.2196,881
Emotional distress,"Yes, but in fact, he's very focused on objects, so for him, it was like a support from home. He would turn it around in all directions and cling to it, but he didn't open it. He was in such an emotional state from being there all day with them, just like when he's at school.",275,first,first of 1,"Ben was bored. He did not like to stay in his room. He wanted to go out and play. But Mom said no. She said it was too cold and wet. She gave him a book and a toy car. But Ben did not want to read or play with the car. He wanted to do something else.

He looked around his room. He saw a drawer. He opened it. He saw a shiny thing. It was a key. He picked it up. He wondered what it was for. He looked at the door. He saw a hole. He walked to the door. He put the key in the hole. He twisted it.

He heard a click. He turned the knob. He opened the door. He saw the hall. He smiled. He ran out of his room. He wanted to explore. He did not know that the key was for his room. He did not know that he locked himself out. He did not know that Mom would be angry. He only knew that he was not bored anymore.",0.3356,804,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.3115,589,"Once upon a time, there was a little boy named Tim. Tim loved to play with his toys, but sometimes he didn't behave well. One day, Tim found a bottle of glue. He didn't know what it was, but he thought it was fun to play with.

Tim took the glue and started to put it on his toys. He put glue on his teddy bear, his cars, and even his favorite ball. His mom saw what he was doing and said, ""Tim, you must behave. Glue is not for playing. It can make a big mess and hurt your toys.""

Tim felt sad that he didn't behave well. He didn't want to hurt his toys. So, he listened to his mom and stopped playing with the glue. From that day on, Tim learned to behave and be more careful with his things. And they all lived happily ever after.",0.3017,734
Stimming through a preferred sensory channel,"So ***[child's name] needs a lot of movement, as you said. He needs to hop around. So whenever things aren't going well, we can put him on a trampoline. Jumping really calms him down, just like spinning does, of course.",219,first,first of 10,"Once there was a little boy named Tom. Tom wanted motion, so he went outside to play. He ran and skipped around the yard and then lay down in the grass. Tom watched the clouds drift by and heard the birds chirping. He wanted to fly like them, so he jumped up and flapped his arms, trying to make a motion like the birds.

Tom heard a sound and his alert ears perked up. He peered through the trees and saw a squirrel running around, gathering food. Tom wanted to join in the motion and scurried after it. He wasn't fast enough and the squirrel zipped away, leaving Tom in its wake.

Still, Tom wanted motion. He ran around the yard, laughing and jumping and twirling in the sunlight. Tom felt the motion of the world around him, and he knew he was alive. He laughed and let his happy spirit flourish in the bright day. He thanked the world for the motion and kept ever-alert to the little creatures of the forest.",0.3427,913,"Mommy was very enthusiastic. She was getting ready to go somewhere and said, â€œLetâ€™s speed!â€ She grabbed her keys and they both ran out the door. They jumped into the car and Mommy started it. She drove very fast down the street, going faster and faster. The wind blew through their hair.

Soon they came to a stop in a big park. There were lots of animals running around and trees to climb. Mommy was so excited. She ran ahead, looking for the perfect spot. As Mommy jumped from tree to tree, her enthusiasm was contagious. Soon I was jumping too, and we were running around the park like we were on a big adventure. 

Finally we stopped to rest. Mommy hugged me tight and said, â€œLetâ€™s speed home now, itâ€™s almost bedtime!â€ We ran back to the car, laughing all the way. Soon we were driving home, going faster and faster, with the wind blowing in our hair.",0.2855,868,"Once upon a time, there was a little girl named Lily. She loved to play outside with her friends. One day, they went to the park to play on the swings. Lily was so excited to swing high in the sky!

But then, a boy came and wanted to swing too. He was very rude and tried to push Lily off the swing. Lily didn't like that, so she went to play on the other side of the park with her other friends.

There, they found a big tree with a tire swing. They all took turns swinging on it and had so much fun. Lily was happy she found a new side of the park to play on and forgot all about the rude boy.",0.2662,595
Action,"He has developed a strategy for dealing with noise when he has nothing. When a noise appears, he sings. So, his voice lowers the external noise. He handles it better. Another technique is telling him that the noise is temporary and will last only a few seconds; this helps him tolerate the noise better.",303,first,first of 5,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.2404,589,"Once upon a time, there was a very big stage. It was so big that lots of people could stand on it at the same time. One day, a little girl went on the stage to sing a song. She was very nervous, but her mom told her she was brilliant and could do it.

As the little girl started to sing, the stage started to rock back and forth. She was scared, but her mom told her to keep singing. So she did, and soon the audience started to clap and cheer. The little girl felt so happy and proud.

Afterwards, the little girl and her mom went home and celebrated with ice cream. The little girl knew she was brilliant and couldn't wait to sing on the stage again.",0.1782,652,"Once upon a time, there was a boy named Timmy. Timmy loved to whistle all day long. He would whistle while he played, while he ate, and even while he slept. One day, Timmy's mom made him some cookies. Timmy took a bite and said, ""Mom, these cookies don't taste regular. They taste funny."" His mom said, ""Timmy, I put a special ingredient in them. They are healthier for you.""

Timmy didn't like the taste of the cookies and he stopped whistling. He didn't want to eat anything that didn't taste regular. His mom explained to him that sometimes things that are good for us don't always taste the same as what we are used to. She reminded him that it's important to try new things and not always stick to the same old regular things.

From that day on, Timmy tried new foods and even started to like some of them. He also learned that just because something doesn't taste regular, it doesn't mean it's not good for you. He continued to whistle all day long, but now he did it with a smile on his face, knowing that he was trying new things and growing up to be a big boy.",0.1779,1069
Shut down,"He would press himself against the large bay window. He looked outside a lot and stayed still. Or, after a big tantrum, he would lie on the floor and stay there for a while.",173,first,first of 1,"One day, John was walking along the shore. He saw something fierce lurking in the distance. He was scared and hid behind a bush. When he peered out again, he saw a majestic dragon soaring in the sky. He was mesmerized and admired its beauty.

The dragon flew so gracefully across the sky, looping and diving in circles. John watched it in awe. He wanted to be like the dragon, strong and fierce but also graceful. Suddenly the dragon spotted John and stopped still in the sky, looking right at him.

John held his breath in shock and anticipation. The dragon and John stared at each other for what felt like a lifetime before the dragon winked at him and flew away, leaving John alone on the shore. Despite the fear he had felt before, John couldn't help but admire the dragon's grandeur.",0.3565,788,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.35,890,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.3319,589
